SL,Date,Dealer Name,Address,Contact,Code
1,07-Mar-19,H&H Distribution,"Nasirabad Housing Society, Road:4, House:24, Chittagong.",Mr. Selim 01975-609812,UNY-001/DK001
2,07-Mar-19,Green Powertech & Engineering,"Sabbir Ahmed Plaza, Station Road, Railgate, Bogura.",Mr.Rasel 01777-671011,UNY-001/DK002
3,07-Mar-19,SM Electric,"Shop: 02, Kaptan Bazar Market, Bhaban-1, Dhaka, Bangladesh.",Md.Mozzammel Hossain 01708-481646,UNY-001/DK003
4,07-Mar-19,NC power Systems,"6 Madani Aveneue , Block J, Baridhara, Notun Bazar, Dhaka-1212.",Mith 01819-203173,UNY-001/DK004
5,30-Jan-19,NZ Enterprice,"10, Taher Tower, 2nd Floor, Rome-301, Gulshan-2, Dhaka.",Md.Abdur Rahim 01714-093601,UNY-001/DK005
6,06-Feb-19,Brand Trade Corporation,"Shop:184 & 24, Kaptan Bazar Complex, Bhabon-1, Nobabpur, Road, Dhaka-1000.",Md.Sariful Islam 01726-525690,UNY-001/DK006
7,06-Feb-19,Global Electric & Trading,"Shop:05, Kaptan Bazar Complex , (1st Floor) Bhabon-1, Nobabpur road, Dhaka-1000.",Md.Akter Hossain 01918-965848,UNY-001/DK007
8,10-Feb-19,M/S Khandaker Traders,"Shop: 9/10, DNCC Kacha Bazar,(3rd Floor), Gulshan-2, Dhaka1212.",khandoker Sohel Ahmed 01911-910627,UNY-001/DK008   
9,10-Feb-19,Mollah Electric,"Vuiyah Plaza, Thana Road, Mograpara Chowrasta, Sonargaon , Narayanganj.",Md.Shahajalal Mollah 0195-7558953,UNY-001/DK009
10,26-Feb-19,Dhaka Electric Trading.,"14 No( Under Ground), Commercial Complx, Azompur, Sector-7, Uttara, Dhaka-1230",Md. Limon 01716-061213,UNY-001/DK010
11,26-Feb-19,A-1 Electric,"8/A, A,B Super Market, Azompur Uttara, Dhaka-1230",Mr.Harun-ur- Rashid 01777-888382,UNY-001/DK011
12,26-Feb-19,M/S Sagor Electric,"K ,Chowdhury Market, Chandona Chowrasta, Gazipur.",Md.Abul Hossain 01711-647561,UNY-001/DK012
13,03-Mar-19,Bagherhat Electric & Solar,"15/2, Sundarban Square Market, Nobabpur, Dhaka.", Md.Muzahid 01714-871028,UNY-001/DK013
14,03-Mar-19,M/S City Electric,"Citi Corporation Market, Nitaigonj mor, Narayanganj",Mr.Sarif 01688-166223,UNY-001/DK014
15,03-Mar-19,M/S Sakil Electric Work,"Sha Kabir Majar Road, Azompur Kacha Bazar, Dakshin Khan, Dhaka-1230.", A.k.M Rumman Iqbal 01711-349685,UNY-001/DK015
16,04-Mar-19,Fatema Electric House,"628/2 Manikdi Bazar, Dhaka Cantonment-1206",Mr.Sakhawat Ullah 01687-269044,UNY-001/DK016
